# Toolbag 5 Chinese dictionary
# Format: English;Chinese
Check for Updates;检查更新
Inverts the radial roughness values, providing the opposite appearance.;反转光圈粗糙值,提供相反的外观.
A texture that controls the direction of the hair. (Hair Cards Only);一种控制头发方向的纹理. (仅限发卡)
Remaps vector data from the range [0,1] to [-1,1]. Disable this setting with floating-point textures.;将矢量数据从[0]到[-1,1]范围重映. 以浮点纹理禁用此设置 。
The anisotropic reflection model allows you to define the highlight direction for complex surfaces like hair, fur and brushed metal.;非同位素反射模型允许您定义毛发,毛皮和刷金等复杂表面的突出方向.
Swaps the direction map content in the red and green channels.;将方向图内容换入红绿通道.
Sets the intensity of the anisotropic reflection effect, use to define the highlight shape for complex surfaces.;设置异构反射效果的强度,用于定义复杂表面的亮度形状.
Sets direction in which the anisotropic reflections face. This value can be used for hair when all UVs point in the same general direction.;设定非同位素反射面的方向. 当所有紫外线都指向相同的一般方向时,这个值可用于毛发.
Blinn-Phong is a standard reflection model with a relatively harsh edge to the highlight shape.;Blinn-Phong是一个标准反射模型,与亮点形状的边缘相对严酷.
Sets the gloss or roughness value relative to the base value.;设置相对于基准值的光滑或粗糙值。
Sets the reflection intensity relative to the base value.;设定相对基准值的反射强度。
Sets the color of the secondary reflection intensity.;设置二次反射强度的颜色。
Sets the Fresnel intensity relative to the base value.;设定相对基准值的弗雷斯内尔强度。
Sets the color of the secondary Fresnel intensity.;设置二级弗雷斯内尔强度的颜色。
Sets the intensity of the horizon occlusion effect, which reduces light leaking from backwards facing vectors in the normal map.;设定地平线闭塞效应的强度,这可以减少正常地图中向后面对向量的光泄漏.
The texture that controls the thickness of the outer surface layer. This affects the interference pattern, as higher thicknesses display more "rings".;控制外表层厚度的纹理. 这影响了干扰模式,因为更高的厚度显示更多的"环".
Determines which channel of the texture will be used for the thickness map.;确定厚度图所用的纹理通道。
Sets the intensity of the interference effect.;设置干扰效果的强度。
Controls the thickness of the outer surface layer. This affects the interference pattern, as higher thicknesses display more "rings".;控制外表面层的厚度。 这影响了干扰模式,因为更高的厚度显示更多的"环".
Sets lower bound thickness that corresponds to the lowest value in the thickness map.;设置对应于厚度图中最低值的下限厚度。
Allows you to control reflectivity with index of refraction values.;允许您用折射值索引控制反射。
Sets the color and intensity of the extinction effect.;设定灭绝效果的颜色和强度。
The advanced metalness model is similar to the metalness model, but provides extra control over specular reflection intensity for insulators or non-metals.;先进的金属性模型与金属性模型相似,但为绝缘器或非金属提供了对光谱反射强度的额外控制.
The texture input that will be used to set the reflectivity value for insulators or non-metals.;用于设定绝缘器或非金属的反射值的纹理输入.
Determines which channel of the texture will be used for the specular map content.;确定用于图谱内容的纹理通道。
Sets the reflectivity value for insulators or non-metals.;设置绝缘器或非金属的反射值。
Inverts the metalness value so that white defines insulators and black defines metals.;反转金属性值,使白色定义绝缘器,黑色定义金属.
Adds a curve to the specular input to match the Frostbite engine. When the slider is set to 0.16, a gray value of 128 equates to 4% reflectivity.;在光谱输入中添加曲线,以匹配Frostbite引擎. 当滑盘设置为0.16时,128的灰色值等于4%的反射率.
The texture that will be used to set the metalness value. Black defines non-metals or insulators, while white defines metals.;用于设定金属值的纹理。 黑色定义非金属或绝缘器,白色则定义金属.
Sets the metalness value, which should generally be 0 for insulators or 1 for metals. When a metalness map is loaded, this value should be set to 1.;设置金属性值,一般应为绝缘器0. 当金属质图被装入时,该值应设定为 1 。
Determines which channel of the texture will be used for the metalness map.;确定金属质度图将使用哪条纹理通道。
The specular map model provides an input to set the explicit specular reflection intensity and color. If your material has a specular map, use this model.;光谱映射模型为设定明显的光谱反射强度和颜色提供了投入. 如果你的材料有谱图,请使用这个模型.
The texture that will be used to set the color and intensity of the specular reflections.;用于设定光谱反射的颜色和强度的纹理.
Specifies color channel(s) to use in the specular map.;指定在光谱图中使用的彩色通道。
Sets the intensity of the specular reflections.;设置光谱反射的强度。
Sets the color and intensity of the specular reflections.;设置光谱反射的颜色和强度。
Sets the intensity of the Fresnel effect, or how reflective surfaces are at grazing angles.;设定弗雷斯内尔效应的强度,或者在放牧角度如何反射表面.
Sets the color and intensity of the Fresnel effect.;设置弗雷斯内尔效应的颜色和强度。
Energy conservation darkens the albedo map to ensure that the sum of diffuse and specular light is not greater than the amount of light that hits the object.;节能使反照率图暗化,以确保散射光和光谱光的总和不大于击中物体的光量.
Flat subdivision tessellates the geometry without altering its shape.;平分子排列几何而不改变形状.
Sets the level of tessellation or geometry limit for sub-division.;设置子分区的纹理或几何限制。
